Country,Adults,Mean Wealth Per Adult,Median Wealth Per Adult,"Under 10,000","10,000-100,000","100,000-1 million",Over 1 million,Total,Gini
Chad,"5,907",981,285,98.9,1,0.1,0,100,77.4
Chile,"12,938","46,543","11,590",46.6,47.1,5.8,0.4,100,80.5
China,"1,023,129","22,864","4,885",67.8,29.3,2.7,0.2,100,81.9
Colombia,"31,986","19,050","5,692",63.1,34.5,2.3,0.1,100,76.2
Comoros,412,"2,860",7,99.8,0.1,0,0.1,100,99.7
"Congo, Dem. Rep.","34,612",396,105,99.6,0.4,0,0,100,79.4
"Congo, Rep.","2,202","3,217",875,95.2,4.5,0.3,0,100,78.5
Costa Rica,"3,416","30,747","10,647",48.8,46.3,4.8,0.2,100,73.4
Cote d'Ivoire,"12,373","2,814",742,96.1,3.7,0.2,0,100,79.3
Croatia,"3,496","22,303","11,721",46,51.3,2.6,0.1,100,64.5
Cyprus,719,"118,478","25,306",29,57,12.7,1.3,100,83.5
Czech Republic,"8,465","48,357","16,700",36.9,56.4,6.3,0.4,100,76
Denmark,"4,235","259,816","52,279",42.8,14,37.5,5.7,100,89.3
Djibouti,541,"4,047","1,485",93.5,6.2,0.4,0,100,73.7
Dominica,52,"26,385","9,345",52,44.1,3.7,0.2,100,73.6
Ecuador,"9,170","13,730","4,348",71,27.3,1.6,0.1,100,75.6
Egypt,"55,436","6,323","1,639",92.3,7.2,0.5,0,100,81.1
El Salvador,"3,919","14,102","5,161",67,31.3,1.6,0.1,100,72.6
Equatorial Guinea,390,"15,238","4,486",72,26.1,1.8,0.1,100,78.1
Eritrea,"3,002","2,475",662,96.7,3,0.2,0,100,79.4
Estonia,"1,045","39,984","20,052",34.5,58.5,6.9,0.2,100,65.6
Ethiopia,"46,433",440,190,99.7,0.3,0,0,100,69.8
Fiji,539,"6,132","1,566",91.4,8,0.6,0.1,100,80.3
Finland,"4,242","146,733","52,427",31.6,34.6,32.1,1.7,100,76.6
France,"48,662","244,365","99,923",26.1,23.9,46.7,3.3,100,72
Gabon,931,"17,379","4,994",68,29.8,2.1,0.1,100,78.3
Gambia,979,857,171,99.1,0.8,0.1,0,100,83.2
Georgia,"3,153","19,843","6,785",60,37,2.9,0.1,100,75
Germany,"67,067","185,175","42,833",31,33.7,32.9,2.4,100,78.9
Ghana,"14,412",872,283,99.1,0.9,0,0,100,75
Greece,"9,146","103,569","53,266",22.9,51.6,24.7,0.8,100,67
Grenada,69,"16,831","5,961",63,34.8,2.1,0.1,100,73.6
Guinea,"5,748",923,324,99,1,0,0,100,74.1
Guinea-Bissau,889,422,163,99.6,0.3,0,0,100,72.6
Guyana,482,"4,711","2,162",91.1,8.6,0.3,0,100,68.4
Haiti,"6,151","3,128",310,98.3,1.6,0.1,0,100,91.7
Hong Kong,"6,269","185,281","34,362",28.3,50.6,19.3,1.8,100,85.6
Hungary,"7,902","33,893","19,345",34.4,60.7,4.8,0.1,100,62.5
Iceland,263,"408,595","188,088",22,16,54.9,7.1,100,72
India,"808,146","3,835",608,96.2,3.5,0.3,0,100,87.6
Indonesia,"164,172","10,772","1,966",84.3,14.7,1,0.1,100,84
Iran,"55,372","3,955","1,150",94.6,5,0.3,0,100,77.9
Ireland,"3,586","214,589","80,668",31.8,23,42.2,3.1,100,80
Israel,"5,155","176,263","54,384",23.5,42.5,32,2,100,77.2
Italy,"49,300","202,288","104,105",22.7,26.1,49,2.3,100,68.7
Jamaica,"1,774","10,073","3,030",80,18.8,1.1,0.1,100,76.8
Japan,"104,223","230,946","120,493",9.3,35.5,52.5,2.7,100,63.1
Jordan,"4,059","15,702","5,978",64.8,33,2.1,0.1,100,73
Kazakhstan,"11,144","4,134",571,96.6,3.1,0.3,0,100,89.2
Kenya,"22,273","1,869",415,97.8,2,0.2,0,100,82.7
Korea,"39,259","159,914","64,636",21.2,43.2,33.9,1.7,100,71.9
Kuwait,"2,423","119,038","40,803",24.7,52.3,21.8,1.2,100,75.4
Kyrgyzstan,"3,729","4,806","1,921",92.3,7.3,0.4,0,100,71.6
Laos,"3,899","6,687","2,305",89.5,9.8,0.7,0,100,75.2
Latvia,"1,765","22,444","10,748",48.5,48.6,2.8,0.1,100,67
Lebanon,"3,071","30,730","5,674",67.3,29.7,2.8,0.3,100,86.1
Lesotho,"1,120","2,984",679,96,3.7,0.3,0,100,81.5
Liberia,"2,281","2,069",709,97.3,2.6,0.2,0,100,75.2
Libya,"4,507","28,828","4,923",67.8,29.2,2.8,0.3,100,86.2
Lithuania,"2,518","22,411","10,915",48,49.2,2.7,0.1,100,66.5
Luxembourg,403,"316,466","125,452",20,24,51.6,4.4,100,75.4
Macedonia,"1,581","9,646","4,349",73.5,25.7,0.8,0,100,68.2
Madagascar,"11,275",364,105,99.7,0.3,0,0,100,77.8
Malawi,"8,090",107,25,99.9,0.1,0,0,100,81.7
Malaysia,"19,406","24,429","6,457",61.4,35.8,2.6,0.2,100,80
Maldives,225,"7,036","2,380",88,11.2,0.7,0,100,75.5
Mali,"6,920",947,327,99,1,0,0,100,74
Malta,336,"116,185","54,562",16,60,22.7,1.3,100,67.9
Mauritania,"1,955","1,949",669,97.5,2.4,0.1,0,100,74.8
Mauritius,964,"34,549","14,087",42,52.7,5,0.3,100,71.6
Mexico,"76,747","21,125","6,066",62.4,35.1,2.4,0.1,100,77.9
Moldova,"2,673","3,212","1,472",95,4.9,0.2,0,100,68
Mongolia,"1,940","18,035","7,274",58.5,38.9,2.6,0.1,100,71.5
Montenegro,470,"18,778","10,463",49,49,2,0,100,63.3
Morocco,"22,321","10,623","2,986",82.9,16.1,1,0.1,100,79
Mozambique,"12,160",520,110,99.5,0.4,0.1,0,100,83.5
Myanmar,"35,483","2,221",785,96.4,3.4,0.2,0,100,74.1
Namibia,"1,341","13,298","1,141",91.6,7.5,0.8,0.2,100,92.5
Nepal,"18,556","2,009",528,97.4,2.5,0.1,0,100,80.4
Netherlands,"13,081","184,378","81,118",24.8,30,43,2.2,100,74.3
New Zealand,"3,329","298,930","135,755",17.3,27,50.8,5,100,69.1
Nicaragua,"3,658","3,392","1,031",94.9,4.8,0.3,0,100,76.7
Niger,"7,674",970,309,98.9,1,0.1,0,100,76.5
Nigeria,"85,928","1,904",397,98.1,1.8,0.1,0,100,83.7
Norway,"3,825","312,339","135,012",27,17.5,50.4,5.1,100,79.8
Oman,"2,000","52,664","19,429",35.7,56.1,7.7,0.5,100,73.6
Pakistan,"114,091","4,595","1,788",93.4,6.1,0.4,0,100,72.7
Panama,"2,439","23,428","6,831",58.7,37.9,3.2,0.2,100,76.6
Papua New Guinea,"4,030","8,851",286,98,1.8,0.1,0.1,100,97.3
Paraguay,"4,155","10,175","2,935",80.4,18.5,1.1,0.1,100,77.4
Peru,"19,795","26,292","6,575",60.1,36.7,2.9,0.2,100,80.7
Philippines,"60,284","9,878","2,055",87,12.1,0.8,0.1,100,83.4
Poland,"30,353","24,584","9,484",51.5,45.5,2.9,0.1,100,73
Portugal,"8,654","77,113","32,782",28.7,55.7,15,0.6,100,71.3
Qatar,"1,301","161,666","74,820",18.5,39,40.3,2.2,100,68
Romania,"16,558","13,815","5,323",69.4,29.2,1.3,0.1,100,73
Russia,"108,892","10,344",991,93.6,5.7,0.6,0.1,100,92.3
Rwanda,"5,663",760,98,99.3,0.5,0.1,0,100,89.4
Samoa,96,"37,838","12,832",45,49.8,4.9,0.3,100,75.6
Sao Tome and Principe,92,"3,812",992,95.1,4.5,0.3,0,100,80.7
Saudi Arabia,"17,883","40,555","14,345",41.5,52.5,5.7,0.3,100,74.5
Senegal,"6,948","2,520",784,96.4,3.4,0.2,0,100,76.4
Serbia,"7,541","6,906","3,494",82.9,16.7,0.5,0,100,65.4
Seychelles,57,"61,619","8,114",56,39.7,3.8,0.5,100,90.2
Sierra Leone,"3,072",637,214,99.4,0.6,0,0,100,75.1
Singapore,"4,111","276,885","101,386",17.6,32.2,46.5,3.7,100,74
Slovakia,"4,341","24,992","17,998",24.2,73.2,2.6,0,100,49
Slovenia,"1,661","57,376","35,183",22,64.5,13.3,0.2,100,58.5
Solomon Islands,322,"10,071","3,632",79,19.8,1.2,0,100,74
South Africa,"31,573","20,589","3,549",69.9,27.5,2.5,0.1,100,83
Spain,"37,794","116,320","56,500",19,54.4,25.5,1,100,68
Sri Lanka,"14,605","4,772","1,271",94.8,4.7,0.4,0,100,80.7
St. Kitts and Nevis,37,"25,950","9,191",52,44.2,3.6,0.2,100,73.6
St. Lucia,124,"15,405","6,909",60,38.3,1.7,0,100,68.7
St. Vincent and the Grenadines,73,"11,999","3,650",76,22.6,1.3,0.1,100,76.8
Sudan,"25,605","1,070",413,98.9,1.1,0,0,100,71.8
Suriname,356,"8,970",48,99.7,0.2,0,0.1,100,99.5
Swaziland,669,"3,179",484,96.6,3.1,0.2,0,100,87
Sweden,"7,406","227,295","39,692",30.9,36.9,28.4,3.9,100,83.2
Switzerland,"6,190","561,854","244,002",21.1,13.6,53.7,11.6,100,72.1
Syria,"13,972","1,846",695,97.3,2.6,0.1,0,100,72.9
Taiwan,"18,506","172,847","63,134",19.9,42.2,36,1.9,100,73.9
Tajikistan,"4,328","2,292",944,96.7,3.2,0.1,0,100,71
Tanzania,"23,758",887,326,99.1,0.9,0,0,100,73.1
Thailand,"50,726","7,926","1,469",91.9,7.4,0.6,0.1,100,85.9
Togo,"3,983","2,281",598,96.8,3,0.2,0,100,78.8
Tonga,55,"13,820","4,687",72,26.1,1.8,0.1,100,75.6
Trinidad and Tobago,"1,000","16,004","7,068",59,39.2,1.8,0,100,68.4
Tunisia,"7,738","17,136","6,291",62.4,35.4,2.1,0.1,100,73.1
Turkey,"54,008","19,685","4,339",72.6,25.4,1.8,0.1,100,83.2
Turkmenistan,"3,530","50,230","14,885",41.5,51.4,6.6,0.5,100,77.7
Uganda,"16,585",685,161,99.3,0.6,0.1,0,100,81.4
Ukraine,"35,363","1,254",133,99.1,0.8,0.1,0,100,91.7
United Arab Emirates,"3,949","151,098","62,332",20,42.7,35.7,1.6,100,71
United Kingdom,"48,993","288,808","107,865",21.6,27,46.8,4.5,100,73.2
United States,"245,972","344,692","44,977",34.6,28.6,31.3,5.5,100,86.2
Uruguay,"2,447","36,651","15,133",41,52.6,6.1,0.2,100,69.9
Vanuatu,149,"5,766","1,955",91.3,8.1,0.6,0,100,75.6
Venezuela,"19,999","4,221",893,95.3,4.4,0.3,0,100,83.7
Vietnam,"64,812","5,275","1,800",91.8,7.7,0.5,0,100,74.8
West Bank and Gaza,"2,421","6,362","2,590",88.7,10.7,0.6,0,100,71.4
Yemen,"13,387","4,752","1,762",93,6.5,0.4,0,100,73.6
Zambia,"6,606","1,021",42,99.5,0.3,0.1,0,100,95.9
Zimbabwe,"7,384","3,933","1,049",94.4,5.2,0.4,0,100,79.4
Africa,"587,469","4,261",411,93.9,5.7,0.4,0,100,88.7
Asia-Pacific,"1,154,110","46,325","2,293",74.6,16.2,8.7,0.5,100,90.4
China,"1,023,129","22,864","4,885",67.8,29.3,2.7,0.2,100,81.9
Europe,"584,293","125,460","11,319",48.7,26.7,22.9,1.7,100,84.9
India,"808,146","3,835",608,96.2,3.5,0.3,0,100,87.6
Latin America,"409,981","18,442","4,089",69.8,28.1,2,0.1,100,81.3
North America,"274,065","337,078","49,460",33.6,28.3,32.7,5.4,100,85.2
World,"4,841,193","52,819","2,222",73.2,18.5,7.5,0.7,100,92.7
