Country,Adults,Mean Wealth Per Adult,Median Wealth Per Adult,"Under 10,000","10,000-100,000","100,000-1 million",Over 1 million,Total,Gini,,,,,,,,,,,,,,,,
Gabon,844,"20,121","8,845",55,41.90,3. 1,0. 0,100,68.3,,,,,,,,,,,,,,,,
Gambia,882,"1,007",387,99,1.00,0. 0,0. 0,100,70.8,,,,,,,,,,,,,,,,
Georgia,"3,174","19,774","5,519",68,29.60,2. 3,0. 1,100,79,,,,,,,,,,,,,,,,
Germany,"67,031","174,526","42,222",32,31.00,34.9,2. 2,100,77.7,,,,,,,,,,,,,,,,
Ghana,"13,144","2,009",857,96.9,3.00,0. 0,0. 0,100,68.7,,,,,,,,,,,,,,,,
Greece,"9,085","90,359","35,714",25,52.40,21.8,0. 8,100,71.4,,,,,,,,,,,,,,,,
Grenada,66,"13,864","5,078",68.8,29.60,1. 6,0. 0,100,72,,,,,,,,,,,,,,,,
Guinea,"5,132",862,390,99.4,0.60,0. 0,0. 0,100,67.4,,,,,,,,,,,,,,,,
Guinea-Bissau,816,400,200,99.9,0.10,0. 0,0. 0,100,65.8,,,,,,,,,,,,,,,,
Guyana,472,"3,528","1,516",92.5,7.40,0. 1,0. 0,100,69.3,,,,,,,,,,,,,,,,
"Hong Kong SAR, China","5,959","144,109","29,617",30,48.40,20,1. 6,100,83.6,,,,,,,,,,,,,,,,
Hungary,"7,913","23,328","12,364",45.1,51.20,3. 6,0. 0,100,64.1,,,,,,,,,,,,,,,,
Iceland,249,"193,946","95,685",20,31.30,46.5,2. 3,100,66.3,,,,,,,,,,,,,,,,
India,"751,287","4,250",938,95.1,4.60,0. 3,0. 0,100,81.3,,,,,,,,,,,,,,,,
Indonesia,"155,294","10,842","2,293",82.3,16.40,1. 2,0. 1,100,82,,,,,,,,,,,,,,,,
Iran,"52,257","8,705","4,042",72.5,26.90,0. 6,0. 0,100,66.9,,,,,,,,,,,,,,,,
Ireland,"3,447","152,563","60,953",22.4,45.90,30.1,1. 7,100,72.7,,,,,,,,,,,,,,,,
Israel,"4,865","129,526","37,019",27.5,46.50,24.6,1. 4,100,78.3,,,,,,,,,,,,,,,,
Italy,"48,998","212,910","123,710",20.8,22.30,54.5,2. 4,100,64.6,,,,,,,,,,,,,,,,
Jamaica,"1,696","12,246","4,902",70,28.70,1. 3,0. 0,100,70,,,,,,,,,,,,,,,,
Japan,"104,303","269,708","141,410",4. 3,33.20,59.1,3. 4,100,59.6,,,,,,,,,,,,,,,,
Jordan,"3,785","14,606","7,109",62.2,36.40,1. 4,0. 0,100,65.9,,,,,,,,,,,,,,,,
Kazakhstan,"10,857","7,689","1,679",90.7,8.60,0. 7,0. 1,100,83.8,,,,,,,,,,,,,,,,
Kenya,"20,172","1,866",715,96.9,3.10,0. 0,0. 0,100,71,,,,,,,,,,,,,,,,
"Korea, Rep.","37,955","69,646","27,080",27.4,60.00,12.1,0. 5,100,72.6,,,,,,,,,,,,,,,,
Kuwait,"2,239","115,612","40,346",19.1,59.10,20.6,1. 2,100,73.7,,,,,,,,,,,,,,,,
Kyrgyz Republic,"3,499","5,150","2,493",87.9,11.90,0. 2,0. 0,100,66,,,,,,,,,,,,,,,,
Lao PDR,"3,511","4,218","2,018",90.7,9.20,0. 1,0. 0,100,66.6,,,,,,,,,,,,,,,,
Latvia,"1,793","19,886","9,673",52.5,45.10,2. 4,0. 0,100,66.1,,,,,,,,,,,,,,,,
Lebanon,"2,905","33,173","7,146",62.9,33.40,3. 4,0. 3,100,85.7,,,,,,,,,,,,,,,,
Lesotho,"1,063","3,916","1,344",91,8.80,0. 2,0. 0,100,72.8,,,,,,,,,,,,,,,,
Liberia,"2,056","1,915",910,97.6,2.40,0. 0,0. 0,100,66.8,,,,,,,,,,,,,,,,
Libya,"4,206","18,249","4,347",68.8,27.50,3. 6,0. 1,100,77.7,,,,,,,,,,,,,,,,
Lithuania,"2,542","22,059","10,437",47.9,48.60,3. 5,0. 0,100,66.6,,,,,,,,,,,,,,,,
Luxembourg,385,"277,119","153,967",12.5,28.80,54.3,4. 5,100,62.3,,,,,,,,,,,,,,,,
"Macedonia, FYR","1,552","10,370","4,391",72.1,26.90,0. 9,0. 0,100,68.9,,,,,,,,,,,,,,,,
Madagascar,"10,014",444,183,99.8,0.20,0. 0,0. 0,100,69.4,,,,,,,,,,,,,,,,
Malawi,"7,172",412,188,99.9,0.1,0. 0,0. 0,100,67.4,,,,,,,,,,,,,,,,
Malaysia,"17,965","26,829","6,195",63.4,33.2,3. 2,0. 2,100,81.4,,,,,,,,,,,,,,,,
Maldives,204,"5,365","2,521",87.5,12.3,0. 2,0. 0,100,66.4,,,,,,,,,,,,,,,,
Mali,"6,288",905,458,99.4,0,0. 0,0. 0,100,64.8,,,,,,,,,,,,,,,,
Malta,327,"61,619","31,810",30,52.5,17.2,0. 3,100,66.4,,,,,,,,,,,,,,,,
Mauritania,"1,784","2,132",956,96.5,3,0. 0,0. 0,100,67.8,,,,,,,,,,,,,,,,
Mauritius,923,"38,026","20,813",40,52.3,7. 7,0. 1,100,64.6,,,,,,,,,,,,,,,,
Mexico,"71,999","29,870","8,394",55.2,40,4. 6,0. 2,100,78,,,,,,,,,,,,,,,,
Moldova,"2,694","3,785","1,944",92.1,7.8,0. 1,0. 0,100,64.8,,,,,,,,,,,,,,,,
Mongolia,"1,817","12,008","5,755",67.8,31.2,1. 1,0. 0,100,66.2,,,,,,,,,,,,,,,,
Montenegro,467,"20,522","11,149",47.5,50.3,2. 2,0. 0,100,63.5,,,,,,,,,,,,,,,,
Morocco,"20,953","11,088","3,007",80.6,18.3,1. 1,0. 1,100,79.6,,,,,,,,,,,,,,,,
Mozambique,"11,172",805,325,99.3,0,0. 0,0. 0,100,70.2,,,,,,,,,,,,,,,,
Namibia,"1,222","23,586","5,542",65,29.9,5. 0,0. 1,100,78.8,,,,,,,,,,,,,,,,
Nepal,"16,780","1,979","1,006",97.8,2,0. 0,0. 0,100,64.8,,,,,,,,,,,,,,,,
Netherlands,"12,844","173,910","61,880",22.1,40.2,35.1,2. 5,100,81.2,,,,,,,,,,,,,,,,
New Zealand,"3,194","156,428","63,000",28.7,37,32.5,1. 8,100,72.5,,,,,,,,,,,,,,,,
Nicaragua,"3,329","3,435","1,183",92.5,7.3,0. 1,0. 0,100,73,,,,,,,,,,,,,,,,
Niger,"6,772",742,368,99.6,0.4,0. 0,0. 0,100,65.7,,,,,,,,,,,,,,,,
Norway,"3,695","325,989","79,376",20,35.3,38.5,6. 2,100,77.9,,,,,,,,,,,,,,,,
Oman,"1,821","46,436","17,984",41.1,48.3,10.3,0. 2,100,70.8,,,,,,,,,,,,,,,,
Pakistan,"103,302","4,139","2,203",91.2,8.7,0. 1,0. 0,100,63.9,,,,,,,,,,,,,,,,
Panama,"2,276","21,870","7,568",57.7,38.1,4. 1,0. 1,100,72.7,,,,,,,,,,,,,,,,
Papua New Guinea,"3,648","7,963","2,753",80.6,18.7,0. 7,0. 0,100,72.5,,,,,,,,,,,,,,,,
Paraguay,"3,812","9,721","3,417",75,23.9,1. 1,0. 0,100,72.8,,,,,,,,,,,,,,,,
Peru,"18,496","17,590","5,064",68,29.8,2. 0,0. 1,100,77.4,,,,,,,,,,,,,,,,
Philippines,"55,315","8,152","1,972",87.4,11.9,0. 7,0. 0,100,81,,,,,,,,,,,,,,,,
Poland,"30,182","22,229","7,604",60,37.2,2. 7,0. 1,100,75.3,,,,,,,,,,,,,,,,
Portugal,"8,593","77,402","28,832",27.5,54.5,17.3,0. 6,100,72.5,,,,,,,,,,,,,,,,
Qatar,"1,263","145,596","57,027",25,40.8,32.7,1. 5,100,70.6,,,,,,,,,,,,,,,,
Romania,"16,743","17,164","6,536",65.3,32.7,1. 9,0. 1,100,73.1,,,,,,,,,,,,,,,,
Russian Federation,"110,813","12,161","1,267",91.2,8,0. 8,0. 1,100,91.4,,,,,,,,,,,,,,,,
Rwanda,"5,166",721,258,99.3,0.7,0. 0,0. 0,100,72.7,,,,,,,,,,,,,,,,
Saudi Arabia,"16,218","36,752","9,850",50.9,43.9,5. 0,0. 3,100,79.2,,,,,,,,,,,,,,,,
Senegal,"6,222","2,465","1,122",95.6,4.3,0. 0,0. 0,100,67.3,,,,,,,,,,,,,,,,
Serbia,"7,515","13,861","7,785",60,38.9,1. 1,0. 0,100,62.6,,,,,,,,,,,,,,,,
Seychelles,53,"53,179","13,775",45,45,9. 4,0. 6,100,79.7,,,,,,,,,,,,,,,,
Sierra Leone,"2,833",537,227,99.7,0,0. 0,0. 0,100,68.9,,,,,,,,,,,,,,,,
Singapore,"3,885","258,117","95,542",20,32.1,43.9,4. 0,100,72.4,,,,,,,,,,,,,,,,
Slovakia,"4,281","25,092","14,389",42.6,53.5,3. 8,0. 0,100,62.1,,,,,,,,,,,,,,,,
Slovenia,"1,651","58,140","30,835",27.5,58.8,13.5,0. 2,100,63.9,,,,,,,,,,,,,,,,
Solomon Islands,289,"8,912","3,954",75,24.2,0. 8,0. 0,100,68.3,,,,,,,,,,,,,,,,
South Africa,"30,800","21,458","3,822",70.5,26.1,3. 3,0. 1,100,82.6,,,,,,,,,,,,,,,,
Spain,"36,936","104,773","53,292",18.7,57.4,23,0. 8,100,66.2,,,,,,,,,,,,,,,,
Sri Lanka,"14,194","4,651","2,054",89.8,10,0. 2,0. 0,100,68.1,,,,,,,,,,,,,,,,
St. Kitts and Nevis,33,"23,260",41,97.9,1. 5,0. 4,0. 2,100,99.7,,,,,,,,,,,,,,,,
St. Lucia,116,"12,534","5,448",68.8,30,1. 3,0. 0,100,68.6,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,71,"9,769","3,570",72.5,26. 5,1. 0,0. 0,100,71.9,,,,,,,,,,,,,,,,
Sudan,"23,127","2,529","1,245",95.8,4. 2,0. 0,0. 0,100,65.5,,,,,,,,,,,,,,,,
Suriname,340,"12,783","4,320",71.3,27.3,1. 5,0. 0,100,73,,,,,,,,,,,,,,,,
Swaziland,612,"5,214","1,777",87.5,12.2,0. 3,0. 0,100,72.7,,,,,,,,,,,,,,,,
Sweden,"7,245","237,297","41,367",19.4,48.6,27.2,4. 7,100,80.6,,,,,,,,,,,,,,,,
Switzerland,"6,062","468,186","87,137",6. 3,46.8,37.6,9. 3,100,80.6,,,,,,,,,,,,,,,,
Syrian Arab Republic,"13,106","6,917","3,334",81.2,18.5,0. 4,0. 0,100,66.1,,,,,,,,,,,,,,,,
Tajikistan,"3,898","2,973","1,583",94.8,5. 1,0. 1,0. 0,100,63.8,,,,,,,,,,,,,,,,
Tanzania,"21,383",859,404,99.4,0. 6,0. 0,0. 0,100,66.7,,,,,,,,,,,,,,,,
Thailand,"49,163","7,415","2,166",89.4,10,0. 6,0. 0,100,79,,,,,,,,,,,,,,,,
Togo,"3,581","2,104",935,96.7,3. 2,0. 0,0. 0,100,68,,,,,,,,,,,,,,,,
Tonga,54,"15,461","7,339",61.3,37.3,1. 5,0. 0,100,67.3,,,,,,,,,,,,,,,,
Trinidad and Tobago,981,"14,145","6,567",63.8,34. 9,1. 4,0. 0,100,67.5,,,,,,,,,,,,,,,,
Tunisia,"7,324","20,583","8,999",53.9,42.9,3. 2,0. 0,100,68.3,,,,,,,,,,,,,,,,
Turkey,"50,754","21,947","4,471",72.2,25.5,2. 1,0. 2,100,84.2,,,,,,,,,,,,,,,,
Uganda,"14,556",677,279,99.5,0. 5,0. 0,0. 0,100,69.7,,,,,,,,,,,,,,,,
Ukraine,"36,084","3,251",462,97.3,2. 4,0. 2,0. 0,100,89.2,,,,,,,,,,,,,,,,
United Arab Emirates,"3,713","120,363","47,998",16.7,55.8,26.3,1. 2,100,69.9,,,,,,,,,,,,,,,,
United Kingdom,"47,883","250,005","115,245",17.4,28.4,50.9,3. 3,100,67.5,,,,,,,,,,,,,,,,
United States of America,"236,502","262,351","38,786",31.9,34.8,28.6,4. 7,100,85.2,,,,,,,,,,,,,,,,
Uruguay,"2,382","44,986","17,907",40.5,49.1,10.3,0. 2,100,69.8,,,,,,,,,,,,,,,,
Vanuatu,134,"5,633","2,674",87.5,12.2,0. 3,0. 0,100,67.3,,,,,,,,,,,,,,,,
Venezuela,"18,584","9,932","2,617",82.2,16.8,0. 9,0. 1,100,79.6,,,,,,,,,,,,,,,,
Viet Nam,"60,431","4,652","2,257",89.6,10.3,0. 2,0. 0,100,65.9,,,,,,,,,,,,,,,,
West Bank and Gaza,"1,738","8,856","4,320",72.5,26.9,0. 6,0. 0,100,65.9,,,,,,,,,,,,,,,,
"Yemen, Rep.","11,732","4,731","2,228",89.7,10.1,0. 2,0. 0,100,66.9,,,,,,,,,,,,,,,,
Zambia,"5,991","1,742",539,97,3. 0,0. 0,0. 0,100,74.1,,,,,,,,,,,,,,,,
Zimbabwe,"6,420","2,343",397,95.1,4. 8,0. 2,0. 0,100,83.8,,,,,,,,,,,,,,,,
Africa,"535,399","4,470",488,92.7,6.8,0.5,0,100,86.5,,,,,,,,,,,,,,,,
Asia-Pacific,"1,086,341","46,693","2,979",71.2,19.5,8.8,0.5,100,88.9,,,,,,,,,,,,,,,,
China,"987,184","20,452","7,536",60.2,37.5,2.1,0.1,100,68.9,,,,,,,,,,,,,,,,
Europe,"582,506","119,056","12,657",47,28.9,22.6,1.6,100,83.1,,,,,,,,,,,,,,,,
India,"751,287","4,250",938,95.1,4.6,0.3,0,100,81.3,,,,,,,,,,,,,,,,
Latin America and Caribbean,"385,936","22,533","5,410",64.6,32.2,3.1,0.1,100,79.7,,,,,,,,,,,,,,,,
North America,"263,416","258,802","42,214",31.7,33.7,30.1,4.5,100,84.2,,,,,,,,,,,,,,,,
World,"4,592,068","48,501","3,710",69.3,22.5,7.5,0.6,100,90.2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
