Country,Adults,Mean Wealth Per Adult,Median Wealth Per Adult,"Under 10,000","10,000-100,000","100,000-1 million",Over 1 million,Total,Gini,
Italy,"48,544","223,572","124,636",21.3,22,54.1,2.7,100,66,
Jamaica,"1,962","9,485","3,717",79,20.2,0.8,0,100,74.3,
Japan,"105,228","225,057","123,724",7.9,35.7,53.9,2.6,100,60.9,
Jordan,"5,212","13,099","6,014",65.7,33.1,1.2,0,100,76.1,
Kazakhstan,"12,011","4,441",334,97.6,2.1,0.3,0,100,92.6,
Kenya,"23,732","1,809",662,97.4,2.5,0.1,0,100,77.2,
Korea,"41,007","160,609","67,934",20,40.5,37.8,1.7,100,70,
Kuwait,"2,996","97,304","37,788",30.3,48.3,20.4,1,100,76.9,
Kyrgyzstan,"3,611","4,689","2,472",92.7,7,0.2,0,100,62.9,
Laos,"3,849","5,662","1,382",94.6,4.7,0.7,0,100,84.9,
Latvia,"1,577","27,631","17,828",29,68.6,2.2,0.1,100,53.6,
Lebanon,"4,085","24,161","6,452",69,28.5,2.3,0.2,100,82,
Lesotho,"1,184","3,163",945,95.9,3.8,0.3,0,100,79.8,
Liberia,"2,211","2,193",959,97.3,2.6,0.1,0,100,71.6,
Libya,"4,007","45,103","24,510",29.6,61.1,9.2,0.2,100,59.9,
Lithuania,"2,316","27,507","17,931",27.3,70.4,2.1,0.1,100,51.6,
Luxembourg,450,"313,687","167,664",17,20,58.8,4.2,100,68.1,
Macedonia,"1,607","9,044","5,698",77,22.5,0.5,0,100,56.4,
Madagascar,"12,048",354,174,99.9,0.1,0,,100,67.1,
Malawi,"8,194",114,45,100,0,0,,100,73.7,
Malaysia,"20,902","22,804","7,087",64.4,33.1,2.4,0.2,100,82,
Maldives,301,"5,522","2,539",90,9.6,0.4,0,100,68,
Mali,"7,593",929,486,99.4,0.6,0,,100,64.5,
Malta,345,"119,802","67,980",14,54,31.1,0.9,100,62,
Mauritania,"2,169","1,390",731,98.9,1.1,0,,100,62.3,
Mauritius,934,"38,937","23,035",26,67.6,6.3,0.1,100,55.3,
Mexico,"82,105","22,346","8,737",54.5,42.6,2.8,0.1,100,73.2,
Moldova,"3,194","3,093","2,229",97.4,2.5,0.1,,100,47.9,
Mongolia,"1,932","12,530","7,526",64,35.2,0.8,0,100,57,
Montenegro,474,"19,607","13,981",36,62.9,1.1,0,100,48.8,
Morocco,"22,817","11,118","2,986",83.7,15.2,1,0.1,100,81.4,
Mozambique,"12,928",371,171,99.8,0.2,0,,100,71.1,
Myanmar,"33,769","1,831","1,431",99.3,0.7,0,,100,31,
Namibia,"1,317","16,101","3,216",75.5,22.7,1.7,0.1,100,91,
Nepal,"16,720","2,392","1,151",96.9,3,0.1,0,100,67.3,
Netherlands,"13,193","204,045","94,373",13.9,37.4,46.1,2.5,100,73,
New Zealand,"3,444","337,441","147,593",18,24.7,51.4,5.9,100,72.3,
Nicaragua,"3,777","3,242","1,306",94.7,5.1,0.2,0,100,71.9,
Niger,"8,273",942,545,99.5,0.5,0,,100,56.4,
Nigeria,"85,914","1,797",835,97.7,2.3,0,0,100,69.5,
Norway,"4,013","320,475","130,543",28.2,16.8,50,5,100,80.5,
Oman,"3,283","34,592","10,461",49,46.6,4,0.3,100,80.6,
Pakistan,"107,845","5,174","3,338",90.2,9.6,0.1,0,100,52.6,
Panama,"2,600","23,340","8,239",55.7,41.5,2.7,0.1,100,76.3,
Papua New Guinea,"4,369","7,733","2,275",88.2,10.8,0.9,0,100,81.9,
Paraguay,"4,091","10,438","4,179",76.4,22.6,1,0,100,75.2,
Peru,"20,399","26,729","8,483",57,39.9,2.9,0.2,100,77.8,
Philippines,"60,718","9,773","2,478",86.6,12.5,0.9,0.1,100,83.9,
Poland,"30,627","28,057","10,302",48.7,48.1,2.9,0.2,100,71.7,
Portugal,"8,383","89,437","38,242",25.8,55,18.4,0.8,100,70.9,
Qatar,"2,127","102,517","71,118",8.3,57.3,34,0.4,100,52.2,
Romania,"15,645","16,344","8,282",61.4,37,1.5,0.1,100,62.3,
Russia,"112,567","16,773","3,919",82,16.6,1.3,0.1,100,82.6,
Rwanda,"5,939",666,272,99.4,0.5,0,,100,73,
Samoa,103,"22,734","9,938",51,46.7,2.2,0.1,100,69.8,
Sao Tome and Principe,93,"2,739","1,652",97,2.9,0.1,,100,53.1,
Saudi Arabia,"22,017","35,042","11,555",47.2,48,4.5,0.3,100,79.4,
Senegal,"7,293","2,648","1,245",95.9,4.1,0.1,0,100,69.8,
Serbia,"6,820","8,035","5,299",79.6,20,0.4,0,100,54.2,
Seychelles,68,"50,883","26,064",34,54,11.8,0.2,100,65.6,
Sierra Leone,"3,498",340,190,99.9,0.1,,,100,58.7,
Singapore,"4,462","268,776","108,850",21.6,26,49,3.4,100,73.3,
Slovakia,"4,335","27,842","20,717",18,79.5,2.5,0,100,46.3,
Slovenia,"1,676","62,920","42,195",19,62.5,18.3,0.2,100,55.1,
Solomon Islands,304,"11,222","4,797",76,23,0.9,0.1,100,71.7,
South Africa,"34,834","21,849","5,136",68.1,28.5,3.3,0.2,100,86.7,
Spain,"37,389","129,578","63,369",18.9,48.2,31.7,1.1,100,65.7,
Sri Lanka,"14,210","4,802","2,448",90.7,9,0.2,0,100,66.5,
St. Lucia,129,"14,296","7,497",61,37.9,1.1,0,100,63.7,
St. Vincent and the Grenadines,74,"12,445","3,336",81,17.8,1.1,0.1,100,81.3,
Sudan,"19,245","1,594",910,98.5,1.5,0,,100,56.9,
Suriname,363,"5,843","1,842",91.1,8.4,0.5,0,100,78.2,
Swaziland,701,"3,323","1,031",96.3,3.4,0.3,0,100,79.3,
Sweden,"7,650","260,667","45,235",17.4,52.5,25.7,4.4,100,83.4,
Switzerland,"6,753","537,599","229,059",10.4,17.4,63.3,8.8,100,69.4,
Syria,"9,395","1,122",572,99,0.9,0,,100,65.9,
Taiwan,"18,973","188,081","87,257",7,49.5,41.5,2,100,67.8,
Tajikistan,"4,869","1,576",993,99,1,0,,100,53.5,
Tanzania,"25,090",858,510,99.6,0.4,0,,100,55.2,
Thailand,"52,185","8,311","1,624",91.1,8.1,0.7,0.1,100,85.1,
Togo,"3,694","2,668","1,123",95.7,4.2,0.1,0,100,74,
Tonga,57,"13,356","7,672",62,37.1,0.9,0,100,59.3,
Trinidad and Tobago,998,"14,028","7,579",62,36.9,1.1,0,100,62.1,
Tunisia,"7,915","15,540","7,161",63.6,34.5,1.8,0,100,69.1,
Turkey,"53,248","20,061","5,087",75.6,22.5,1.7,0.1,100,81.8,
Turkmenistan,"3,488","9,438","6,621",74.7,24.9,0.3,0,100,42.8,
Uganda,"17,264",645,300,99.6,0.4,0,,100,68.6,
Ukraine,"35,517","1,224",133,99.2,0.7,0.1,0,100,90.1,
United Arab Emirates,"7,652","78,803","19,712",39.4,54.1,5.4,1,100,86.1,
United Kingdom,"50,617","278,038","102,641",18.9,30.6,46.1,4.3,100,73.5,
United States,"240,772","388,585","55,876",28.5,31.4,33.7,6.4,100,85.9,
Uruguay,"2,466","40,376","20,376",32.7,59.7,7.5,0.2,100,63.9,
Vanuatu,148,"6,173","2,994",84,15.6,0.4,0,100,70.2,
Venezuela,"20,157","4,530",436,96.9,2.7,0.3,0,100,94.2,
Vietnam,"66,447","5,391","2,235",90.8,8.8,0.4,0,100,74.5,
Yemen,"13,665","3,002",799,96.6,3.1,0.3,0,100,81.9,
Zambia,"7,369","1,064",298,98.5,1.4,0.1,0,100,81,
Zimbabwe,"7,871","3,640","1,525",93.7,6.2,0.2,0,100,73,
Africa,"599,799","4,166",438,93.9,5.6,0.5,0,100,89.3,
Asia-Pacific,"1,159,508","47,479","2,997",72.9,17.3,9.3,0.5,100,89.3,
China,"1,079,169","26,872","6,689",63.1,34,2.7,0.2,100,78.9,
Europe,"589,207","135,163","14,851",43.8,29.9,24.5,1.8,100,82.9,
India,"834,608","5,976","1,295",92.3,7.2,0.5,0,100,83,
Latin America,"425,560","19,049","5,159",66.4,31.3,2.3,0.1,100,79.8,
North America,"269,441","374,869","59,127",28,31,34.9,6.1,100,85,
World,"4,957,291","56,541","3,582",70.1,21.3,7.9,0.7,100,91.6,
