"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","HHDI","NET","AGRWTH","A","2015",4.96310261829396,
"GBR","HHDI","NET","AGRWTH","A","2016",0.543883571817452,
"GBR","HHDI","NET","AGRWTH","A","2017",1.20322680818629,
"GBR","HHDI","NET","AGRWTH","A","2018",1.91582240933315,
"USA","HHDI","NET","AGRWTH","A","2015",3.92391639245948,
"USA","HHDI","NET","AGRWTH","A","2016",1.8978793274143,
"USA","HHDI","NET","AGRWTH","A","2017",2.67306259114254,
"USA","HHDI","NET","AGRWTH","A","2018",3.64970054392069,
"EST","HHDI","NET","AGRWTH","A","2015",5.78661331238133,
"EST","HHDI","NET","AGRWTH","A","2016",3.90674355863116,
"EST","HHDI","NET","AGRWTH","A","2017",3.37598498646677,
"EST","HHDI","NET","AGRWTH","A","2018",5.27300586055655,
"RUS","HHDI","NET","AGRWTH","A","2015",-4.78453332999083,
"RUS","HHDI","NET","AGRWTH","A","2016",-1.58099479883297,
"RUS","HHDI","NET","AGRWTH","A","2017",2.66524908851679,
"SVN","HHDI","NET","AGRWTH","A","2015",2.22392105451499,
"SVN","HHDI","NET","AGRWTH","A","2016",4.69648383714877,
"SVN","HHDI","NET","AGRWTH","A","2017",2.96411220598215,
"SVN","HHDI","NET","AGRWTH","A","2018",3.60586185184033,
"ZAF","HHDI","NET","AGRWTH","A","2015",3.83785113094744,
"ZAF","HHDI","NET","AGRWTH","A","2016",-0.368767355276047,
"ZAF","HHDI","NET","AGRWTH","A","2017",2.05197271620592,
"ZAF","HHDI","NET","AGRWTH","A","2018",1.56937587757081,
"ZAF","HHDI","NET","AGRWTH","A","2019",1.27855829981824,
"EA","HHDI","NET","AGRWTH","A","2015",1.74576513116442,
"EA","HHDI","NET","AGRWTH","A","2016",2.1170360329927,
"EA","HHDI","NET","AGRWTH","A","2017",1.38082128792408,
"EA","HHDI","NET","AGRWTH","A","2018",1.66498385602541,
"EA","HHDI","NET","AGRWTH","A","2019",1.84279379340212,
"LVA","HHDI","NET","AGRWTH","A","2015",7.16741278573573,
"LVA","HHDI","NET","AGRWTH","A","2016",4.35559251725836,
"LVA","HHDI","NET","AGRWTH","A","2017",3.034976908838,
"LVA","HHDI","NET","AGRWTH","A","2018",6.46402445494942,
"CRI","HHDI","NET","AGRWTH","A","2015",4.68252668491544,
"CRI","HHDI","NET","AGRWTH","A","2016",7.35226522703359,
"LTU","HHDI","NET","AGRWTH","A","2015",3.50048796808169,
"LTU","HHDI","NET","AGRWTH","A","2016",5.63448283662282,
"LTU","HHDI","NET","AGRWTH","A","2017",0.55855321527995,
"LTU","HHDI","NET","AGRWTH","A","2018",2.02517593723749,
