Country,Adults,Mean Wealth Per Adult,Median Wealth Per Adult,"Under 10,000","10,000-100,000","100,000-1 million",Over 1 million,Total,Gini
Syria,"13,710","1,775",818,97.8,2.2,0,0,100,63.2
Taiwan,"18,449","194,701","66,423",13.1,46.7,37.9,2.2,100,72.7
Tajikistan,"4,207","2,691","1,398",95.6,4.3,0,0,100,62.4
Tanzania,"23,057",907,430,99.4,0.6,0,0,100,64.4
Thailand,"50,314","7,330","1,264",92.3,7.1,0.6,0.1,100,84.8
Togo,"3,866","2,261",845,96.2,3.8,0,0,100,68.3
Tonga,55,"14,077","5,952",62.5,36,1.5,0,100,65.1
Trinidad and Tobago,996,"16,160","5,841",63.8,34.5,1.7,0.1,100,70
Tunisia,"7,629","18,397","6,640",60,37.7,2.2,0.1,100,70.7
Turkey,"53,083","19,301","4,469",73.5,24.6,1.8,0.1,100,82.1
Turkmenistan,"3,462","44,915","19,822",34.1,56.6,9,0.2,100,67.3
Uganda,"15,979",674,281,99.6,0.4,0,0,100,68
Ukraine,"35,600","1,437",166,99,0.9,0.1,0,100,91.6
United Arab Emirates,"3,877","144,377","59,518",15.3,51.1,32.2,1.5,100,70.3
United Kingdom,"48,696","320,368","126,472",10,33.9,51.3,4.9,100,67.8
United States,"243,349","352,996","49,787",28.1,32.9,32.6,6.4,100,85
Uruguay,"2,428","39,299","8,734",54.2,41.4,4.1,0.4,100,82.5
Vanuatu,145,"5,575","2,378",86.3,13.5,0.2,0,100,64.8
Venezuela,"19,597","6,725","1,469",92,7.4,0.6,0,100,81.8
Vietnam,"63,645","5,030","2,393",87.9,11.9,0.1,0,100,64.3
West Bank and Gaza,"2,331","5,759","2,569",85.9,13.9,0.2,0,100,64
Yemen,"12,903","5,370","2,595",87.8,12,0.2,0,100,64.3
Zambia,"6,414","1,383",379,97.7,2.2,0,0,100,74.8
Zimbabwe,"7,111","3,650","1,509",92.4,7.5,0.1,0,100,68.3
Africa,"572,266","4,536",639,93.3,6.2,0.4,0,100,85.6
Asia-Pacific,"1,134,624","40,505","2,711",74.3,17.6,7.7,0.4,100,89.2
China,"1,013,536","22,513","7,357",62.1,35.5,2.3,0.1,100,73.3
Europe,"584,088","128,506","16,142",44.7,30.7,22.9,1.7,100,83.4
India,"792,023","4,352",868,95.4,4.3,0.3,0,100,83.1
Latin America,"403,142","18,508","4,034",71.7,26.1,2.1,0.1,100,80.9
North America,"271,123","342,302","59,737",27.1,32.8,34,6.1,100,84.2
World,"4,770,803","52,432","3,210",71,21,7.3,0.7,100,91.5
