Country,Adults,Mean Wealth Per Adult,Median Wealth Per Adult,"Under 10,000","10,000-100,000","100,000-1 million",Over 1 million,Total,Gini
Cape Verde,299,"18,295","4,948",68.7,28.7,2.4,0.1,100,78.9
Central African Republic,"2,399",878,327,99.2,0.8,0,0,100,71.3
Chad,"5,567","1,169",537,98.9,1.1,0,0,100,66.5
Chile,"12,561","46,697","16,536",39.2,54.5,5.9,0.4,100,78.9
China,"1,003,456","21,330","7,033",62.3,35.4,2.2,0.1,100,71.9
Colombia,"30,771","27,275","7,855",55.6,40.4,3.9,0.2,100,76.8
Comoros,392,"3,173",736,94.7,5,0.3,0,100,80.8
"Congo, Dem. Rep.","32,392",339,141,99.9,0.1,0,0,100,68.6
"Congo, Rep.","2,060","4,159","1,431",91.9,7.8,0.2,0,100,71.7
Costa Rica,"3,281","27,606","8,367",54.4,41.9,3.5,0.2,100,76.7
Cote d'Ivoire,"11,672","3,204","1,179",94.4,5.5,0.2,0,100,72.1
Croatia,"3,498","27,193","12,495",43.2,52.6,4.1,0.1,100,66.1
Cyprus,699,"128,479","33,390",25,56.2,17.2,1.5,100,80.5
Czech Republic,"8,446","46,291","13,724",40.2,53.2,6.2,0.4,100,77.4
Denmark,"4,199","292,984","46,708",39.5,17,37.8,5.8,100,89.1
Djibouti,514,"3,651","1,522",93.1,6.7,0.2,0,100,67.4
Dominica,50,"24,987","8,512",55,42,2.8,0.2,100,75.5
Ecuador,"8,812","12,326","3,718",73.9,24.8,1.3,0.1,100,75.2
Egypt,"53,248","7,319","1,835",91,8.4,0.6,0,100,80.7
El Salvador,"3,774","12,638","4,314",70.8,27.9,1.3,0,100,72.6
Equatorial Guinea,370,"20,919","6,897",60,37.1,2.7,0.1,100,75.6
Eritrea,"2,826","2,150",852,96.9,3.1,0.1,0,100,68.9
Estonia,"1,053","40,856","17,583",37,55,7.8,0.2,100,68.2
Ethiopia,"43,474",427,232,99.9,0.1,0,0,100,62.4
Fiji,526,"6,487","2,502",83.8,15.8,0.4,0,100,68.8
Finland,"4,205","196,621","88,130",29,24,44.5,2.5,100,71.5
France,"48,234","317,292","140,638",21.5,22.4,51,5.1,100,69.7
Gabon,881,"22,413","7,731",57.5,39.4,3,0.1,100,74.7
Gambia,922,823,330,99.3,0.7,0,0,100,70
Georgia,"3,170","21,857","9,676",51,46.1,2.8,0.1,100,68
Germany,"67,074","211,049","54,090",27.9,32.7,36.5,2.9,100,77.1
Ghana,"13,682","1,023",461,99.2,0.8,0,0,100,66.8
Greece,"9,114","111,405","53,375",20.4,53.6,25,1,100,68.1
Grenada,68,"15,127","5,262",66.3,32.1,1.6,0.1,100,73.1
Guinea,"5,389",894,390,99.3,0.6,0,0,100,66.3
Guinea-Bissau,846,463,238,99.8,0.1,0,0,100,64.4
Guyana,476,"4,104","1,426",92.1,7.6,0.3,0,100,72.4
Haiti,"5,880","3,778",989,93.1,6.6,0.3,0,100,77
Hong Kong,"6,098","163,706","31,454",29.2,50.5,18.7,1.7,100,84.2
Hungary,"7,914","30,895","15,324",39.4,55.6,5,0.1,100,64.7
Iceland,255,"362,982","164,193",13.7,23.7,56.2,6.2,100,68.4
India,"775,767","4,645","1,006",94.5,5.1,0.3,0,100,81.4
Indonesia,"159,141","9,742","1,800",87.4,11.6,0.9,0.1,100,84
Iran,"53,727","4,162","1,753",91.3,8.6,0.1,0,100,67.4
Ireland,"3,508","209,976","79,346",20,36.5,40.9,2.6,100,71.6
Israel,"4,988","169,064","51,346",23.3,45.4,29.3,1.9,100,77.3
Italy,"49,163","255,880","142,296",20,20,56.7,3.2,100,66.1
Jamaica,"1,730","10,146","2,883",80,18.9,1,0,100,76.8
Japan,"104,307","222,150","112,998",8.6,37.5,51.3,2.6,100,63.4
Jordan,"3,894","14,458","6,855",60.8,37.7,1.5,0,100,66.1
Kazakhstan,"11,001","5,854",956,94.6,4.9,0.5,0,100,87.3
Kenya,"21,055","2,052",763,97,3,0.1,0,100,70.7
Korea,"38,541","95,664","34,541",23.4,58.4,17.3,0.9,100,74.1
Kuwait,"2,318","122,688","42,951",24.1,51.8,22.8,1.3,100,74.8
Kyrgyzstan,"3,601","5,410","2,521",86.9,12.9,0.2,0,100,64.6
Laos,"3,673","5,764","2,751",86.1,13.7,0.2,0,100,64.3
Latvia,"1,783","20,930","9,033",53.1,44.1,2.8,0,100,67.9
Lebanon,"2,976","30,604","6,175",64.3,32.4,3,0.3,100,85.8
Lesotho,"1,087","3,455","1,155",93.9,5.9,0.2,0,100,73.7
Liberia,"2,149","1,827",828,97.8,2.2,0,0,100,65.9
Libya,"4,334","32,669","6,645",59.3,36.2,4.2,0.3,100,82.3
Lithuania,"2,534","22,689","10,068",49.6,47.3,3.1,0,100,67.1
Luxembourg,393,"340,836","156,267",16.3,22.5,55.5,5.7,100,70.2
Macedonia,"1,566","11,871","4,854",65,33.9,1.1,0,100,69
Madagascar,"10,537",426,179,99.8,0.2,0,0,100,68.5
Malawi,"7,547",176,79,100,0,0,0,100,67.2
Malaysia,"18,589","26,795","6,509",60.3,36.5,3,0.2,100,80.8
Maldives,213,"6,307","2,862",82.5,17.2,0.3,0,100,64.7
Mali,"6,553","1,056",461,99.1,0.9,0,0,100,66.3
Malta,331,"113,724","63,271",15,53.8,30.3,1,100,60.7
Mauritania,"1,856","2,148",980,97,3,0,0,100,67.1
Mauritius,941,"38,857","13,630",43.7,49.7,6.2,0.3,100,74.1
Mexico,"74,065","35,234","10,460",49,45.7,5.1,0.2,100,75.9
Moldova,"2,689","3,734","1,601",92.8,7,0.1,0,100,68
Mongolia,"1,872","14,166","7,181",60,38.7,1.3,0,100,64.3
Montenegro,468,"21,567","10,437",48.7,48.4,2.8,0,100,65.7
Morocco,"21,552","12,239","3,439",80.7,18.1,1.1,0.1,100,79
Mozambique,"11,580",845,337,99.2,0.8,0,0,100,70.2
Myanmar,"34,447","2,014","1,200",97.9,2.1,0,0,100,58.2
Namibia,"1,273","17,472","3,246",75.8,21.8,2.2,0.2,100,82.9
Nepal,"17,525","1,982",800,97,3,0,0,100,68.6
Netherlands,"12,948","210,233","93,116",22.1,29.5,45.7,2.7,100,72.6
New Zealand,"3,254","204,401","82,610",24.7,29.4,43.3,2.7,100,71
Nicaragua,"3,472","3,396","1,242",93.7,6.2,0.1,0,100,71.4
Niger,"7,141","1,044",487,99.1,0.9,0,0,100,66.4
Nigeria,"81,533","3,359",829,96,3.8,0.2,0,100,80.3
Norway,"3,751","358,655","86,953",20,33.1,40.1,6.8,100,77.8
Oman,"1,897","49,217","15,180",41.1,50.7,7.7,0.5,100,76.9
Pakistan,"107,904","4,417","2,384",90.7,9.2,0.1,0,100,62.5
Panama,"2,345","22,397","6,127",61.4,35.9,2.6,0.1,100,78.3
Papua New Guinea,"3,805","8,029","2,677",81.6,17.7,0.7,0,100,72.2
Paraguay,"3,959","11,714","3,655",75.8,22.9,1.2,0,100,75.6
Peru,"19,051","21,329","4,753",68.1,29.6,2.2,0.2,100,81.7
Philippines,"57,441","8,351","1,716",89.5,9.7,0.7,0.1,100,83.5
Poland,"30,282","27,731","9,136",52.7,43.6,3.5,0.2,100,74.9
Portugal,"8,623","98,428","41,930",25,52.8,21.3,0.9,100,70.4
Qatar,"1,282","156,096","56,969",20,45.8,32.2,2,100,72.9
Romania,"16,664","15,442","5,439",63,35.4,1.6,0.1,100,73.6
Russia,"110,091","19,586","2,360",83.3,15.2,1.4,0.1,100,89.7
Rwanda,"5,375",722,248,99.3,0.7,0,0,100,72.2
Samoa,92,"37,516","14,404",40,53.4,6.4,0.3,100,69.9
Sao Tome and Principe,87,"2,976",988,94.8,5.1,0.2,0,100,73.2
Saudi Arabia,"16,933","38,579","12,318",45.9,48.3,5.5,0.3,100,77.3
Senegal,"6,526","2,840","1,257",95.4,4.6,0.1,0,100,67.3
Serbia,"7,531","7,784","3,738",77.8,21.7,0.5,0,100,65.4
Seychelles,55,"60,962","7,778",55,38.1,6.1,0.7,100,88.1
Sierra Leone,"2,930",700,308,99.6,0.4,0,0,100,66.2
Singapore,"3,988","289,902","109,250",18.2,31.1,46.6,4.2,100,72.4
Slovakia,"4,312","28,630","21,802",18.8,78.5,2.7,0,100,44.7
Slovenia,"1,656","71,955","50,329",18.1,56.2,25.5,0.1,100,53.8
Solomon Islands,303,"10,314","5,061",71.2,27.9,0.8,0,100,65.8
South Africa,"31,142","22,073","4,007",68.2,28.9,2.8,0.2,100,81.8
Spain,"37,332","134,824","66,752",17,51,30.8,1.2,100,67.1
Sri Lanka,"14,386","4,936","2,120",89,10.8,0.2,0,100,66.9
St. Kitts and Nevis,35,"24,224","7,682",55,42.1,2.7,0.2,100,75.4
St. Lucia,120,"13,625","5,123",66.3,32.3,1.5,0,100,70.1
St. Vincent and the Grenadines,72,"10,677","3,680",76.2,22.6,1.1,0,100,74
Sudan,"24,162",981,472,99.3,0.7,0,0,100,64.2
Suriname,346,"15,894","4,090",72.5,25.5,1.9,0.1,100,79.6
Swaziland,637,"4,172","1,460",92.1,7.6,0.3,0,100,73.5
Sweden,"7,324","332,616","63,376",13.1,46.9,33.6,6.4,100,79.4
Switzerland,"6,120","580,686","106,887",1.7,46.7,40.8,10.8,100,80.2
Syria,"13,469","2,511","1,175",96.1,3.8,0,0,100,64.7
Taiwan,"18,389","182,756","65,375",20,40.4,37.5,2.1,100,73.3
Tajikistan,"4,083","3,191","1,708",94.5,5.5,0,0,100,62.9
Tanzania,"22,374",991,493,99.3,0.7,0,0,100,64.5
Thailand,"49,871","7,487","1,742",90.9,8.4,0.6,0,100,82.5
Togo,"3,750","2,659","1,278",95.9,4,0.1,0,100,65.5
Tonga,55,"15,734","6,443",60,38.1,1.8,0,100,67.9
Trinidad and Tobago,990,"15,386","5,977",63.7,34.5,1.7,0.1,100,71.5
Tunisia,"7,512","20,907","7,243",58.9,38.3,2.6,0.1,100,74
Turkey,"52,153","20,347","3,999",75.3,22.8,1.8,0.2,100,84.3
Turkmenistan,"3,390","40,625","17,995",35,57.5,7.3,0.2,100,66.7
Uganda,"15,394",789,333,99.4,0.6,0,0,100,68.8
Ukraine,"35,812","2,374",224,98.3,1.5,0.2,0,100,91.9
United Arab Emirates,"3,810","121,021","45,965",22.9,50.3,25.6,1.2,100,72
United Kingdom,"48,381","292,621","130,590",16.4,26.1,53.3,4.2,100,68.2
United States,"240,648","347,845","53,352",28.6,31.9,33.5,5.9,100,84.6
Uruguay,"2,410","43,867","12,706",45.8,47.5,6.3,0.4,100,77.7
Vanuatu,140,"6,023","2,757",86.2,13.4,0.3,0,100,67.2
Venezuela,"19,194","6,801","1,534",91.1,8.2,0.6,0,100,81.8
Vietnam,"62,403","4,887","2,318",88.9,10.9,0.2,0,100,65.2
West Bank and Gaza,"2,245","12,791","6,204",64.1,34.7,1.2,0,100,65.5
Yemen,"12,427","5,153","2,368",88.6,11.2,0.2,0,100,65.6
Zambia,"6,236","1,570",559,98.1,1.9,0,0,100,71.5
Zimbabwe,"6,831","3,221",665,94.8,4.9,0.3,0,100,81.3
Africa,"557,336","5,080",679,92.2,7.3,0.5,0,100,85.6
Asia-Pacific,"1,114,814","44,715","2,842",73.3,17.9,8.3,0.5,100,89.5
China,"1,003,456","21,330","7,033",62.3,35.4,2.2,0.1,100,71.9
Europe,"583,651","145,977","15,853",44.3,28.1,25.5,2,100,82.7
India,"775,767","4,645","1,006",94.5,5.1,0.3,0,100,81.4
Latin America,"396,273","22,997","5,053",65.2,31.9,2.8,0.2,100,80.9
North America,"268,086","340,340","56,886",28,31.4,34.8,5.7,100,83.7
World,"4,699,383","56,016","3,641",69.8,21.5,7.9,0.7,100,91.1
