Country,Adults,Mean Wealth Per Adult,Median Wealth Per Adult,"Under 10,000","10,000-100,000","100,000-1 million",Over 1 million,Total,Gini
Mongolia,"1,777","11,770","5,452",25,44.4,29.6,1.1,100,66.9
Nepal,"16,299","2,471",917,55.6,39.5,4.9,0.1,100,71.9
New Zealand,"3,154","167,957","68,726",2.7,24.3,36,37,100,72.2
Oman,"1,770","40,330","18,159",13.8,25.6,51.7,8.9,100,68.4
Pakistan,"100,255","5,094","2,556",30,56.6,13.2,0.2,100,65
Papua New Guinea,"3,547","5,568","1,877",37.9,47.6,14,0.4,100,73
Philippines,"53,913","6,411","1,497",40,50.1,9.4,0.6,100,81.4
Qatar,"1,231","146,623","58,079",4.2,21.7,40.8,33.3,100,71.1
Saudi Arabia,"15,752","35,959","10,207",20,27.5,47.3,5.2,100,79.2
Singapore,"3,805","284,692","101,033",0.3,17.6,29.7,52.4,100,71.7
Solomon Islands,280,"7,129","3,070",30,50,19.5,0.6,100,69.2
Sri Lanka,"14,049","4,670","2,000",34.9,54,11,0.2,100,68.8
Syrian Arab Republic,"12,812","6,832","3,054",30,50.7,18.9,0.4,100,68.2
Tajikistan,"3,775","3,145","1,541",40,54.5,5.5,0.1,100,65.7
Thailand,"48,674","7,351","2,393",35,53.2,11.1,0.6,100,76.8
Tonga,54,"12,312","5,550",23.8,45,30,1.3,100,68.3
Turkey,"49,828","25,374","5,221",26.2,43.6,27.4,2.8,100,84.4
United Arab Emirates,"3,645","115,774","46,118",0.3,14.7,60.8,24.2,100,69.7
Vanuatu,129,"5,877","3,821",31.3,52.5,16,0.3,100,68.1
Viet Nam,"59,058","4,535","2,015",34.2,54.2,11.4,0.2,100,67.5
West Bank and Gaza,"1,737","8,630","3,873",30,50,19.4,0.6,100,68.2
"Yemen, Rep.","11,285","5,226","2,384",30.6,55.9,13.3,0.2,100,67.5
Argentina,"27,502","21,641","6,333",25.8,37.3,33.9,3,100,76.8
Bahamas,233,"37,151","26,093",17.5,21.3,54,7.3,100,67
Barbados,197,"19,555","7,601",25,33.8,38.6,2.6,100,69.7
Belize,176,"9,414",501,75,20.6,3.6,0.8,100,96.6
Bolivia,"5,506","3,849","1,159",47.6,44,8.2,0.2,100,75.6
Brazil,"131,285","34,439","8,899",21.8,34,38.7,5.5,100,79.5
Chile,"12,044","32,311","9,260",23.3,29.2,42.9,4.7,100,78.2
Colombia,"29,231","22,135","5,633",30,35.1,31.4,3.5,100,79.2
Costa Rica,"3,105","24,783","9,030",20.3,35.7,39.3,4.7,100,72.1
Dominica,48,"17,794","6,343",25,38.8,33.4,2.9,100,73
Ecuador,"8,379","12,189","3,903",30,43.7,24.6,1.7,100,74.4
El Salvador,"3,604","11,232","4,359",30,43.1,25.7,1.2,100,71
Grenada,66,"12,179","4,240",30,42.5,26,1.5,100,72.9
Guyana,470,"3,278","1,347",42.5,51,6.4,0.1,100,69.9
Jamaica,"1,675","13,762","5,473",25.6,42.5,30.1,1.8,100,70.6
Mexico,"70,630","36,467","10,708",20,27.5,46.3,6.2,100,77.4
Nicaragua,"3,236","3,388","1,165",47.5,45.4,7,0.1,100,73.5
Panama,"2,230","18,116","5,804",27.7,36.8,32.4,3,100,74.3
Paraguay,"3,715","9,984","3,388",30,50,18.8,1.2,100,73.8
Peru,"18,133","17,163","6,151",26.3,38.2,32.8,2.7,100,72.5
St. Lucia,114,"9,783","4,077",28.8,46.3,24.2,0.8,100,69
St. Vincent and the Grenadines,70,"8,314","2,934",31.2,48.7,19.2,0.8,100,73.2
Suriname,335,"12,410","4,119",30,42.5,25.9,1.6,100,73.5
Trinidad and Tobago,973,"10,325","4,618",27.5,45,26.6,0.9,100,68.1
Uruguay,"2,364","41,590","16,018",15.5,24.5,49.5,10.5,100,71
Venezuela,"18,172","9,108","2,337",33.5,50.6,15,0.9,100,80.6
China,"975,239","20,711","7,496",5.8,54.9,37,2.3,100,69.7
Africa,"521,095","5,718",511,61.3,29.4,8.6,0.7,100,87.2
Algeria,"22,877","10,271","4,896",26,46.1,27.2,0.8,100,66.2
Benin,"4,432","3,100","1,388",40,54.2,5.7,0.1,100,67.8
Botswana,"1,135","14,656","4,642",30,40,27.8,2.2,100,74.4
Burkina Faso,"7,232","1,256",550,69.3,29.3,1.3,0,100,68.3
Burundi,"4,468",222,106,96.6,3.3,0,0,100,66
Cameroon,"9,903","2,883","1,133",47.6,46.9,5.5,0.1,100,70.3
Cape Verde,278,"16,486","5,807",23.8,42.5,31,2.8,100,72.9
Central African Republic,"2,259",898,370,80,19.3,0.7,0,100,69.7
Chad,"5,172","1,231",534,69.2,29.6,1.2,0,100,68.2
Comoros,369,"2,938",715,60,33.9,5.9,0.2,100,79.1
"Congo, Dem. Rep.","29,805",278,111,94.8,5.1,0.1,0,100,70.2
"Congo, Rep.","1,892","4,688","1,728",39.4,48.9,11.4,0.2,100,71.4
Côte d'Ivoire,"10,849","3,179","1,181",45,48.5,6.4,0.1,100,72
Djibouti,480,"3,187","1,409",41.3,52.8,5.9,0.1,100,68.2
Egypt,"50,473","10,421","2,823",30,53.4,15.6,1,100,80.1
Equatorial Guinea,346,"18,831","8,844",21.3,35,41.1,2.6,100,66.8
Latin America,"379,030","26,808","6,328",25.1,35.3,35.3,4.3,100,79.3
Asia-Pacific,"1,065,907","47,703","3,613",27.1,42.1,21.3,9.5,100,88.1
Eritrea,"2,601","1,537",644,65,33,2,0,100,69.4
Ethiopia,"39,985",426,220,90.4,9.5,0.1,0,100,64.4
Gabon,820,"23,124","9,935",21.3,31.3,43.6,3.9,100,68.9
Gambia,856,"1,304",739,70,28.4,1.6,0,100,71.4
Ghana,"12,792","3,558","1,502",40,52.7,7.2,0.1,100,69.3
Guinea,"4,971","1,029",423,74.6,24.4,1,0,100,69.8
Guinea-Bissau,797,442,212,88.8,11.1,0.1,0,100,66.5
Kenya,"19,594","1,645",614,64.8,32.7,2.5,0,100,71.5
Lesotho,"1,047","3,468","1,183",48,44.6,7.3,0.1,100,73.4
Liberia,"1,991","1,594",738,62.2,35.8,1.9,0,100,67.5
Libya,"4,119","28,125","8,024",24,34,36.3,5.8,100,75.5
Madagascar,"9,682",404,157,91.6,8.2,0.2,0,100,71.7
Malawi,"6,942",450,199,89.3,10.6,0.2,0,100,68
Mali,"6,118","1,212",540,69.5,29.3,1.2,0,100,67.9
Mauritania,"1,736","2,385","1,071",47.5,48.7,3.8,0,100,67.8
Mauritius,911,"35,536","19,124",13.8,26.3,53.5,6.5,100,65.3
Morocco,"20,543","12,610","5,421",25,44.5,29.1,1.4,100,68.8
Mozambique,"10,911",640,244,84.2,15.4,0.5,0,100,71.5
Namibia,"1,188","29,502","4,304",30,38,26,6,100,84
Niger,"6,541",860,350,80,19.3,0.7,0,100,70
Rwanda,"5,021",694,263,81.6,17.9,0.5,0,100,71.3
Senegal,"6,027","2,804","1,251",44.3,50.7,4.9,0.1,100,67.9
Seychelles,52,"63,503","15,759",13.8,26.3,50,10,100,80.2
Sierra Leone,"2,770",447,185,88.8,11,0.2,0,100,69.4
South Africa,"30,525","34,288","8,007",24.5,33.2,36.1,6.2,100,79.4
Sudan,"22,458","2,598","1,086",47.5,47.8,4.6,0.1,100,70.3
Swaziland,595,"6,033","2,115",36.3,48.8,14.6,0.4,100,72.9
Tanzania,"20,747",870,401,80,19.4,0.6,0,100,66.8
Togo,"3,471","2,440","1,069",47.4,48.5,4.1,0,100,68.5
Tunisia,"7,189","20,049","8,693",20.3,36.9,39.8,3,100,68.6
Uganda,"14,028",656,271,81.4,18.2,0.4,0,100,69.5
Zambia,"5,839","1,974",702,61.6,35.1,3.3,0,100,72.7
Zimbabwe,"6,184","2,195",381,73.3,22.1,4.4,0.2,100,84.1
India,"735,072","5,548","1,291",43,49.9,6.6,0.4,100,80.4
World,"4,517,876","51,078","4,208",27.2,40.4,23.6,8.8,100,89.3
Northern America,"260,291","248,088","55,927",13.4,16,33.1,37.4,100,81.6
Canada,"26,470","245,455","89,014",9.7,20.3,22,48,100,72.3
United States of America,"233,731","248,395","52,752",13.9,15.5,34.4,36.3,100,82.4
